  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		        G3      		Bp3    			Rp3     		 u      		 g       			r       		i      			 z     			  g      			 r      		 i       		z     			  y    			  U      			 B    			   V      		 R      		 I       			J      			 H       		K     			 FUV     			NUV
   70118.238939611008       0.77189099999999999        6.5249805478424610E-004   7.7710287999999998        1.6467200000000001E-002   8.3080283410208562        8.1178256335081773        8.6713742832033400        7.5093577619323337        8.0439077595697679        8.6021597517966999        8.9993742832033394        9.3584938700852245        8.1199918747697684        8.6091587572274957        9.0113742832033399        9.3065759961468100        9.5235056939791836        6.7673577619323328        8.0428009911510525        8.3810401649148165        8.5212546963214546        8.7184692277280949        9.1626252808610698        9.2977448677429511        9.4129712230435505        6.0732020498183399        6.6978212895041995     
   69762.173026100441       0.76109099999999996        6.6669686203954374E-004   7.7729865000000000        1.6430100000000000E-002   8.3177138716508612        8.1276013277430312        8.6807540694008569        7.5192345418086948        8.0537624351113042        8.6116869041639124        9.0087540694008528        9.3677984500060756        8.1298068157165293        8.6186631214665201        9.0207302867034631        9.3158882092821802        9.5327530713351880        6.7772367285325910        8.0527180545060855        8.3906425235586912        8.5307550674665240        8.7278200459795716        9.1717736692430183        9.3067964538747443        9.4219284070321780        6.0843961561378297        6.7082429075191481     
   69398.167052339631       0.75002800000000003        6.8181198690581363E-004   7.7749620999999998        1.6392799999999999E-002   8.3277228866025723        8.1377037396868737        8.6904266080606050        7.5294392216602475        8.0639781287654841        8.6215218185287448        9.0184266080606044        9.3774060898710729        8.1399576105759479        8.6284616352339789        9.0303664247658375        9.3254999290653835        9.5422917324872287        6.7874452308659379        8.0629986469550161        8.4005423367182779        8.5405614836339794        8.7374602639601484        9.1812110310029311        9.3161363387243199        9.4312036505234111        6.0959093720442894        6.7189907423651292     
   68969.487684877036       0.73698600000000003        6.9967566933416944E-004   7.7772382000000002        1.6349900000000001E-002   8.3393880006717183        8.1494792487662551        8.7016955744768154        7.5413354619720891        8.0758861275405778        8.6329816973141575        9.0296955744768113        9.3885984248137895        8.1517889778775512        8.6398786460826429        9.0415925232452992        9.3366961498935730        9.5534035500709820        6.7993466896923067        8.0749832772036001        8.4120788469771810        8.5519875988826470        8.7486902483250830        9.1922033491764452        9.3270143760021256        9.4420037236986651        6.1093461032089067        6.7315260150358540     
   68467.425829462722       0.72167499999999996        7.2120420507508238E-004   7.7798568000000001        1.6300700000000001E-002   8.3529283208363090        8.1631492386874704        8.7147723313699750        7.5551468292514876        8.0897101350344336        8.6462814609510410        9.0427723313699708        9.4015852437358625        8.1655230474003311        8.6531282035339885        9.0546190739529173        9.3496863678316693        9.5662970320059557        6.8131651323556888        8.0888972226685460        8.4254685485851475        8.5652476307339889        8.7617201980487174        9.2049566869547945        9.3396346450078305        9.4545303783653303        6.1249602841869368        6.7460846329159523     
   67882.214229878286       0.70375600000000005        7.4731402567965687E-004   7.7828660000000003        1.6244300000000000E-002   8.3686058669895917        8.1789782747206292        8.7299103144783192        7.5711402277698259        8.1057172331928147        8.6616784381045289        9.0579103144783151        9.4166182213242937        8.1814251400387921        8.6684666595275193        9.0696985359013045        9.3647218440654445        9.5812225054291194        6.8291680690286771        8.1050093263468401        8.4409705312585555        8.5805981235275173        8.7768021586424556        9.2197186336980810        9.3542426032258934        9.4690262915541705        6.1430525779197449        6.7629471464843238     
   67205.218898431878       0.68284900000000004        7.7846365235700432E-004   7.7863616999999996        1.6179099999999998E-002   8.3867592500254169        8.1973067907558885        8.7474414585206439        7.5896568199997212        8.1242500226895658        8.6795073062746333        9.0754414585206398        9.4340279491003294        8.1998365132692541        8.6862278281644763        9.0871619804104853        9.3821327467035367        9.5985096420768059        6.8476974691965147        8.1236635321098802        8.4589208156949489        8.5983732749644766        8.7942667780136929        9.2368166545463346        9.3711643162126599        9.4858149551987587        6.1639914661953057        6.7824653841686491     
   66427.208151925748       0.65856899999999996        8.1556987229748754E-004   7.7904102999999996        1.6103800000000001E-002   8.4077013960728344        8.2184499512272566        8.7676712788609272        7.6110131109303190        8.1456256789455104        8.7000766413487973        9.0956712788609266        9.4541183616913109        8.2210727617758970        8.7067193621639909        9.1073139996761192        9.4022222518551466        9.6184615543578644        6.8690708619664846        8.1451785961151266        8.4796295585184112        8.6188810033639918        8.8144178898399552        9.2565513580034420        9.3906989126851883        9.5051921346432380        6.1881233372444981        6.8049675110149046     
   65858.525028593140       0.64065700000000003        8.4397327897158903E-004   7.7933887999999998        1.6048699999999999E-002   8.4230379348886064        8.2339332669800296        8.7824890029688962        7.6266502035168937        8.1612773872197533        8.7151407526029043        9.1104890029688956        9.4688342631746121        8.2366226474254756        8.7217266051057631        9.1220748554717570        9.4169359409229170        9.6330778456320285        6.8847220809685918        8.1609321270140374        8.4947954923971860        8.6339001603057621        8.8291765332200587        9.2710089583406070        9.4050119485008832        9.5193870090032089        6.2057837344531546        6.8214385877677568     
   65422.780815145990       0.62684200000000001        8.6596367713525529E-004   7.7956719000000003        1.6006599999999999E-002   8.4347858998403051        8.2457936903957627        8.7938403635742066        7.6386275199509459        8.1732659236324618        8.7266799778478781        9.1218403635742060        9.4801076073372368        8.2485331673954914        8.7332222559293893        9.1333826416557198        9.4282066748184814        9.6442757836190207        6.8967111400697032        8.1729986798694316        8.5064127340848454        8.6454049435293907        8.8404817091369647        9.2820853054635659        9.4159784474268644        9.5302611385523814        6.2193085916971267        6.8340530800092036     
   65025.994055605050       0.61419699999999999        8.8658020169577866E-004   7.7977480999999997        1.5968400000000001E-002   8.4454749546395256        8.2565851716228451        8.8041689256284279        7.6495248122673090        8.1841733660728728        8.7371789440673275        9.1321689256284238        9.4903651168395449        8.2593695572839927        8.7436815434728921        9.1436715250339837        9.4384611095062532        9.6544653153839626        6.9076198120006040        8.1839771748617487        8.5169827528562081        8.6558725358728914        8.8507675177006924        9.2921641060006444        9.4259578963506208        9.5401550804951505        6.2316130964561296        6.8455292527117564     
   64610.633608658252       0.60093099999999999        9.0857172260894008E-004   7.7998839999999996        1.5929100000000002E-002   8.4565832584519960        8.2678009963693988        8.8149000373218804        7.6608515256647074        8.1955098050255764        8.7480881112563260        9.1429000373218834        9.5010217000436121        8.2706314677473074        8.7545491746171926        9.1543611006827454        9.4491136987823872        9.6650513640265707        6.9189590629259357        8.1953881423038446        8.5279664485345954        8.6667487106171919        8.8614530994215208        9.3026340901091693        9.4363243534529921        9.5504304776522702        6.2444122181681294        6.8574612933684023     
   64123.024707290366       0.58533500000000005        9.3468740637354128E-004   7.8023173999999997        1.5884599999999999E-002   8.4694182183012092        8.2807627716890213        8.8272920390353722        7.6739442265792359        8.2086121466499637        8.7606890002548585        9.1552920390353751        9.5133259135768302        8.2836460211914247        8.7671013027255871        9.1667043415060991        9.4614121959499595        9.6772735057451609        6.9320672138061088        8.2085782721085057        8.5406551257133980        8.6793105723255852        8.8737906238792323        9.3147196827573477        9.4482888469964070        9.5622860166841210        6.2592336142109186        6.8712643341938264     
   63555.479552303084       0.56707799999999997        9.6630222222688646E-004   7.8051297000000002        1.5833199999999999E-002   8.4843203043452817        8.2958126228795877        8.8416794540891530        7.6891457232670959        8.2238243840223291        8.7753185629214343        9.1696794540891560        9.5276110687996152        8.2987559987327906        8.7816741108766614        9.1810350020443821        9.4756894738080462        9.6914642785016447        6.9472878370586670        8.2238927693118669        8.5553869482109697        8.6938946296766630        8.8881134070528134        9.3287514411673378        9.4621807176245980        9.5760486235519195        6.2764444091936369        6.8872906532002744     
   62897.299589608076       0.54578899999999997        1.0043332251113953E-003   7.8083377000000000        1.5774900000000001E-002   8.5014471851054374        8.3131112936285554        8.8582102791773387        7.7066198777104162        8.2413097124693770        8.7921291857002366        9.1862102791773346        9.5440230898952585        8.3161225231872997        8.7984189156591981        9.1975000091362951        9.4920906986129658        9.7077682918954729        6.9647856197927105        8.2414969017514572        8.5723163749823179        8.7106522664591992        8.9045676178540027        9.3448708325723544        9.4781391153315298        9.5918537926848657        6.2962461066230269        6.9057193110024606     
   62137.961260536838       0.52100500000000005        1.0501560122095270E-003   7.8120212999999996        1.5708099999999999E-002   8.5211708017108698        8.3330332429327072        8.8772480641167171        7.7267425868831836        8.2614448942092409        8.8114878675411390        9.2052480641167165        9.5629237415688237        8.3361205716613469        8.8177016636671937        9.2164618602427666        9.5109767812235155        9.7265463793662406        6.9849376324284940        8.2617692167571306        8.5918121900890299        8.7299497488671918        8.9235148998974623        9.3634358529444022        9.4965203720678701        9.6100540436293613        6.3190485158572187        6.9269394169757099     
   61599.047959044612       0.50323300000000004        1.0836082352868744E-003   7.8146601000000002        1.5660500000000001E-002   8.5352106700764558        8.3472136748887422        8.8908029217951281        7.7410635711454994        8.2757753183414060        8.8252688344559829        9.2188029217951275        9.5763813717869368        8.3503537683332141        8.8314287392518835        9.2299628265910307        9.5244227296273110        9.7399184639383733        6.9992808537051268        8.2761968683495972        8.6056903844641681        8.7436873796518846        8.9370041844314088        9.3766568187260830        9.5096124560734232        9.6230149813459818        6.3352662180222552        6.9420359676917798     
   61165.143644663738       0.48887399999999998        1.1111042169384292E-003   7.8167403999999996        1.5623000000000000E-002   8.5464143412902267        8.3585308749968270        8.9016162264737311        7.7524941528001214        8.2872124367645910        8.8362638747125608        9.2296162264737305        9.5871162168026629        8.3617124270935221        8.8423803890770252        9.2407327408381938        9.5351473216638247        9.7505851022704348        7.0107300095389604        8.2877124464356555        8.6167638843836265        8.7546473506770255        8.9477638456993596        9.3872016069638349        9.5200539683960734        9.6333492068473241        6.3482233439338849        6.9540903630909838     
   60660.921026242220       0.47204800000000002        1.1441005904443955E-003   7.8191853000000000        1.5579100000000000E-002   8.5594877107743681        8.3717359520664996        8.9142373061928222        7.7658294268637906        8.3005559661664190        8.8490949124874927        9.2422373061928216        9.5996462315980704        8.3749648915716630        8.8551610045901139        9.2533033982954453        9.5476645220058618        9.7630368665955256        7.0240878776559992        8.3011470407611672        8.6296859870822420        8.7674377457901169        8.9603216887032371        9.3995118841034024        9.5322453524034838        9.6454141174243144        6.3633286449874422        6.9681480868373864     
